
certificate_type,template_url,template_orientation,font_size,font_color,font_style,field_1_position_x,field_1_position_y,field_1_visible,field_1_width,field_1_alignment,field_2_position_x,field_2_position_y,field_2_visible,field_2_width,field_2_alignment,field_3_position_x,field_3_position_y,field_3_visible,field_3_width,field_3_alignment,width
"Appreciation Medal",https://paintingolympics.in/wp-content/uploads/2025/11/5.png,portrait,12,#000000,Arial,108,120,1,140,C,108,141,1,140,C,,,0,100,C,
"1st Position - International Gold Trophy",https://paintingolympics.in/wp-content/uploads/2025/11/2.png,portrait,12,#000000,Arial,108,120,1,140,C,108,145,1,140,C,,,0,100,C,
"2nd Position - International Silver Trophy",https://paintingolympics.in/wp-content/uploads/2025/11/3.png,portrait,12,#000000,Arial,108,120,1,140,C,108,145,1,140,C,,,0,100,C,
"3rd Position - International Bronze Trophy",https://paintingolympics.in/wp-content/uploads/2025/11/4.png,portrait,12,#000000,Arial,108,120,1,140,C,108,145,1,140,C,,,0,100,C,
Participation,https://paintingolympics.in/wp-content/uploads/2025/11/1.png,portrait,12,#000000,Arial,108,125,1,140,C,108,145,1,140,C,,,0,100,C,
participants,https://paintingolympics.com/wp-content/uploads/2025/05/1.png,portrait,12,#000000,Arial,107,125,1,140,C,107,145,1,140,C,,,0,100,C,
position_1,https://paintingolympics.com/wp-content/uploads/2025/05/2.png,portrait,12,#000000,Arial,107,125,1,140,C,107,143,1,140,C,,,0,100,C,
position_2,https://paintingolympics.com/wp-content/uploads/2025/05/3.png,portrait,12,#000000,Arial,107,125,1,140,C,107,143,1,140,C,,,0,100,C,
position_3,https://paintingolympics.com/wp-content/uploads/2025/05/4.png,portrait,12,#000000,Arial,107,125,1,140,C,107,143,1,140,C,,,0,100,C,
award,https://paintingolympics.com/wp-content/uploads/2025/05/5.png,portrait,12,#000000,Arial,107,120,1,140,C,107,138,1,140,C,,,0,100,C,
